关卡号,F品名单,部位,编号
1-1,随意青春·黄,外套,220
1-1,游园·黄,连衣裙,401
1-1,游园·粉,连衣裙,402
1-1,游园·黑,连衣裙,403
1-1,游园·紫,连衣裙,404
1-1,森歌,外套,218
1-2,相思意,连衣裙,270
1-2,画金屏,连衣裙,274
1-2,密云飞,连衣裙,275
1-2,祥云舞·蓝,连衣裙,394
1-2,方中矩,上衣,413
1-2,绿烟,连衣裙,060
1-2,春山新雨,外套,260
1-2,祥云舞·赤,连衣裙,393
1-2,水墨抄·衣,上衣,409
1-2,森女羊,连衣裙,435
1-2,森女羊·华丽,连衣裙,436
1-3,小名媛,外套,230
1-3,小名媛·华丽,外套,231
1-3,小名媛·珍稀,外套,232
1-3,芙蓉曲,连衣裙,571
1-3,花间序,连衣裙,583
1-3,一品朱衣,连衣裙,584
1-4,纳尔,连衣裙,181
1-4,半色调·灰,外套,261
1-4,浮影·银灰,连衣裙,356
1-4,条纹吊带衫·白,上衣,399
1-4,条纹吊带衫·黑,上衣,400
1-4,祈祷之音,连衣裙,482
1-4,祈祷之音·华丽,连衣裙,483
1-4,祈祷之音·珍稀,连衣裙,484
1-4,天启之龙腾,连衣裙,640
1-4,纳尔,连衣裙,181
1-4,流霞缎,外套,213
1-4,流霞缎·紫,外套,214
1-4,维纳斯之舞,连衣裙,259
1-4,暮霭苍琅,连衣裙,335
1-4,静谧夜色·下,下装,368
1-5,幻眠·蓝,下装,351
1-5,幻眠·妃,下装,352
1-5,香甜梦境·蓝,上衣,380
1-5,香甜梦境·妃,上衣,381
1-5,星星百褶裙,下装,383
1-5,赤云玄铁绔,下装,395
1-5,火炮兰,连衣裙,405
1-5,抹胸小马甲,上衣,415
1-5,金猴送福,上衣,421
1-5,火箭背带裤,下装,032
1-5,幻眠,下装,350
1-5,机械之心·下,下装,402
1-5,机械之心·上,上衣,437
1-5,香甜梦境,上衣,379
1-5,幻眠,下装,350
1-6,茶花纱缎,外套,226
1-6,茶花纱缎·华丽,外套,227
1-6,浮影·银灰,连衣裙,356
1-6,梦幻礼服裙,下装,375
1-6,流霞缎,外套,213
1-6,流霞缎·紫,外套,214
1-6,春山新雨,外套,260
1-6,月色无边·白,上衣,336
1-6,梦幻礼服衣,上衣,408
1-6,水芝,连衣裙,648
1-6,云端初见,连衣裙,377
1-6,山茶春色,连衣裙,413
1-6,桃花歌,连衣裙,429
1-7,神圣医者·裙,下装,148
1-7,流霞缎,外套,213
1-7,流霞缎·紫,外套,214
1-7,条纹绅士·外套,外套,215
1-7,祈祷之音,连衣裙,482
1-7,祈祷之音·华丽,连衣裙,483
1-7,祈祷之音·珍稀,连衣裙,484
1-7,高腰短裤,下装,008
1-7,高腰短裤,下装,008
1-7,星星连衣裙,连衣裙,083
1-7,条纹绅士·外套,外套,215
1-7,茶花纱缎,外套,226
1-7,茶花纱缎·华丽,外套,227
1-7,丝绸衬衫,上衣,354
1-7,冬雪,上衣,373
1-8,星河纱巾,外套,233
1-8,渲色优雅,下装,391
1-8,墨色琉璃,上衣,423
1-8,亚尼拉海盗,连衣裙,577
1-8,NR-001,连衣裙,734
1-8,暗夜森林·珍稀,外套,225
1-8,超级特工·衣,上衣,243
1-8,韶颜倾城·墨,连衣裙,398
1-8,精灵鹿后,连衣裙,406
1-8,黑暗精灵·珍稀,连衣裙,418
1-8,夜魄千魅,连衣裙,517
1-8,提线格莱斯,连衣裙,636
1-9,漆黑隧道,袜子-袜套,310
1-9,魔力·珍稀,上衣,384
1-9,魔力·华丽,上衣,385
1-9,魔力,上衣,386
1-9,破碎星空·玄,上衣,402
1-9,破碎星空·幻,上衣,403
1-9,刺客信念·醇酒,连衣裙,491
1-9,亚尼拉海盗,连衣裙,577
1-9,枫女忍,连衣裙,127
1-9,鬼姬冥花,连衣裙,130
1-9,暗夜森林·珍稀,外套,225
1-9,初云裤·墨,下装,332
1-9,北地英姿·裤,下装,333
1-9,北地英姿·衣,上衣,353
1-9,破碎星空·梦,上衣,401
1-9,精灵鹿后,连衣裙,406
1-9,黑暗精灵·珍稀,连衣裙,418
1-9,滑板战衣,上衣,438
1-9,刺客信念,连衣裙,489
1-9,刺客信念·华丽,连衣裙,490
2-1,幻眠·蓝,下装,351
2-1,幻眠·妃,下装,352
2-1,香甜梦境,上衣,379
2-1,香甜梦境·蓝,上衣,380
2-1,香甜梦境·妃,上衣,381
2-1,啵啵的连衣裙,连衣裙,570
2-1,采撷草莓,连衣裙,591
2-1,采撷草莓·华丽,连衣裙,592
2-1,采撷草莓·珍稀,连衣裙,593
2-1,采撷草莓·蓝提,连衣裙,594
2-1,采撷草莓·抹茶,连衣裙,595
2-1,恋爱法则·裙子,连衣裙,605
2-1,三叶恋,连衣裙,623
2-1,蜜圆,连衣裙,624
2-1,曲意怜心,连衣裙,725
2-1,明珠缘女,连衣裙,727
2-1,缘灯寄吾思,连衣裙,728
2-1,明珠缘女·粉,连衣裙,739
2-1,幻眠,下装,350
2-1,贺礼,连衣裙,598
2-1,芸香柠檬,连衣裙,600
2-1,粉色风暴·上衣,上衣,271
2-1,粉色风暴·下装,下装,260
