全衣柜编号,名称,分类编号,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径,套装,版本号
50001,随性短裤·蓝,001,2,,,A,,B,,A,,A,A,,牛仔布,,浪·迷/5-2少,,V1.3.2
50002,随性短裤·粉,002,2,,,A,,A,,A,,A,A,,牛仔布,,设·定001,,V1.3.2
50003,随性短裤·米,003,2,,,B,,A,,A,,A,A,,牛仔布,,设·定001,,V1.3.2
50004,格调短裙·棕,004,4,,,S,,S,,A,,S,A,,英伦,,店·金币/浪·迷/浪·幻,,V1.3.2
50005,格调短裙·蓝,005,4,,,B,A,,,S,,S,S,,英伦,,设·定004,,V1.3.2
50006,格调短裙·红,006,4,,,B,S,,,S,,S,S,,英伦,,设·定004,,V1.3.2
50007,格调短裙·绿,007,4,,,B,S,,,S,,S,S,,英伦,,设·定004,,V1.3.2
50008,高腰短裤,008,3,,,S,S,,C,,,S,S,,中性风,,店·金币/浪·迷/浪·幻,,V1.3.2
50009,樱蕊,009,3,,A,,,S,,A,,B,S,,,,设·图,,V1.3.2
50010,雪蕊,010,3,,S,,,A,,A,,B,S,,,,设·定009,,V1.3.2
50011,大喵背带裙·蓝,011,3,,,S,,A,,A,,A,A,,小动物,牛仔布,设·图,,V1.3.2
50012,大喵背带裙·棕,012,3,,,A,,A,,S,,A,A,,小动物,牛仔布,设·定011,,V1.3.2
50013,大喵背带裙·黑,013,3,,,A,,A,,S,,S,A,,小动物,牛仔布,设·定011,,V1.3.2
50014,大喵背带裙·白,014,3,,,A,,A,,A,,S,A,,小动物,牛仔布,设·定011,,V1.3.2
50015,蓝贞·裙,015,3,,A,,A,,,S,,S,,A,洛丽塔,,设·图,,V1.3.2
50016,樱宁·蓬裙,016,3,,A,,A,,,S,,S,,A,洛丽塔,,设·图,,V1.3.2
50017,小飞侠·中裤,017,4,,S,,,A,,S,,S,,A,洛丽塔,,店·金币/浪·迷/浪·幻,,V1.3.2
50018,夏蝉裙·粉,018,3,,,A,A,,,A,,S,A,,洛丽塔,,设·图,,V1.3.2
50019,夏蝉裙·黄,019,3,,,A,A,,,S,,A,,A,洛丽塔,,设·定018,,V1.3.2
50021,甜心骑士·裙,021,4,,S,,A,,,A,,S,,A,洛丽塔,,店·钻石/浪·迷/浪·幻,,V1.3.2
50022,天真背带裤,022,4,,B,,,SS,,SS,,C,S,,,,兑·仙履,,V1.3.2
50023,暗灰牛仔,023,3,,B,,,A,S,,,B,,S,牛仔布,,店·金币/浪·迷/浪·幻,,V1.3.2
50024,牛仔七分裤,024,3,,,S,B,,,A,,B,,SS,牛仔布,,设·定023,,V1.3.2
50025,米色七分裤,025,3,,,S,,B,,A,A,,,S,牛仔布,,设·定023,,V1.3.2
50026,爱心靴裤·蓝,026,4,,,S,,S,,S,,A,,S,防晒,,设·图,,V1.3.2
