全衣柜编号,名称,分类编号,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径,套装,版本号
30001,风度·蓝,001,2,,,A,,A,,A,A,,A,,牛仔布,,设·图/4-6少,,V1.3.2
30002,风度·红,002,2,,,A,,A,,A,S,,A,,牛仔布,,设·定001,,V1.3.2
30003,风度·棕,003,2,,,S,,S,,A,S,,A,,牛仔布,,设·定001,,V1.3.2
30004,特级助手·外套,004,3,,S,,,A,,S,,S,,A,中性风,,设·图,,V1.3.2
30005,樱花雨衣,005,3,,,S,,S,,A,,A,A,,雨季装备,,设·图,,V1.3.2
30008,针织背心·蓝,008,2,,,S,B,,,A,,A,,B,中性风,英伦,店·金币/浪·迷/3-3少,,V1.3.2
30009,针织背心·棕,009,2,,,S,,B,,A,,A,,A,中性风,英伦,设·定008,,V1.3.2
30010,针织背心·粉,010,2,,,A,B,,,A,,S,,S,中性风,英伦,设·定008,,V1.3.2
30011,精英马甲,011,3,,,S,A,,A,,A,,,S,中性风,,浪·迷/浪·幻,,V1.3.2
30012,茵萝,012,2,,,S,,A,,C,,A,A,,中性风,,店·金币/5-3少,,V1.3.2
30013,藕萝,013,2,,,S,B,,A,,,A,B,,中性风,,设·定012,,V1.3.2
30014,妃萝,014,2,,,S,,S,B,,,A,B,,中性风,,设·定012,,V1.3.2
30015,棒球衫·黑,015,3,,,S,,A,,A,,A,,S,中性风,,设·图,,V1.3.2
30016,棒球衫·蓝,016,3,,,S,,S,,B,,S,,A,中性风,,设·定015,,V1.3.2
30017,罗兰诗,017,4,,,S,A,,S,,S,,S,,中性风,,浪·迷/浪·幻,,V1.3.2
30018,蔷薇花园,018,5,,S,,S,,,S,,S,,S,洛丽塔,,赠·过关,蔷薇少女,V1.3.2
30019,蒸汽朋克,019,5,,S,,,A,,B,S,,SS,,欧式古典,,兑·仙履,蒸汽时代,V1.3.2
30020,贵妇披风,020,4,,S,,S,,S,,,B,,S,欧式古典,,浪·幻,贵妇雍容,V1.3.2
30021,音学园·墨,021,3,,,S,,A,,A,,A,,S,学院系,防晒,设·图,,V1.3.2
30022,音学园·蓝,022,3,,,A,,A,,S,,A,,S,学院系,防晒,设·定021,,V1.3.2
30023,音学园·白,023,3,,,A,,A,,A,,S,,A,学院系,防晒,设·定021,,V1.3.2
30024,画家·妃,024,4,,,S,S,,A,,,S,,S,防晒,,设·图,,V1.3.2
30025,画家·青,025,4,,,S,S,,,B,,SS,,S,防晒,,设·定024,,V1.3.2
30026,画家·红,026,4,,,S,,S,,C,,S,,S,防晒,,设·定024,,V1.3.2
30027,画家·白,027,4,,,S,S,,,C,,SS,,S,防晒,,设·定024,,V1.3.2
30028,短款外套·灰,028,3,,,S,A,,S,,,A,,A,中性风,OL,店·金币/浪·迷/浪·幻,,V1.3.2
30029,短款外套·米,029,3,,,A,A,,S,,,A,,A,中性风,OL,设·定028,,V1.3.2
30030,短款外套·橙,030,3,,,A,S,,S,,,A,,A,中性风,OL,设·定028,,V1.3.2
30031,短款外套·蓝,031,3,,,A,S,,A,,A,,,A,中性风,OL,设·定028,,V1.3.2
30032,职场佳丽,032,3,,,S,S,,A,,A,,,A,OL,,店·金币/浪·迷/浪·幻,,V1.3.2
30033,卡布奇诺,033,3,,,S,B,,B,,,S,,S,英伦,,设·图,,V1.3.2
30034,彩蝶,034,4,,,S,B,,,S,,S,,S,和风,,设·图,,V1.3.2
30035,巫女的短衣,035,4,,S,,S,,B,,,S,,S,和风,,设·图,,V1.3.2
30036,牛仔小妞,036,3,,,S,,A,B,,S,,S,,侠客联盟,,浪·迷/浪·幻/5-6公,,V1.3.2
30037,牛仔风情,037,4,,S,,,S,S,,A,,S,,侠客联盟,,设·进036,牛仔风情,V1.3.2
30038,苍墨,038,3,,,A,S,,S,,,A,,C,,,店·金币,,V1.3.2
30039,剪裁T恤,039,3,,,S,,S,C,,S,,S,,摇滚风,,1-8少,,V1.3.2
30040,叛逆,040,4,,S,,,S,,S,S,,,B,摇滚风,,设·图,性感不良,V1.3.2
30041,暖茸,041,3,,,S,,A,,A,,S,,S,森女系列,,浪·迷/浪·幻/3-10公,,V1.3.2
30042,暖茸·华丽,042,4,,S,,,S,,A,,S,,A,森女系列,,设·进041,森女与麋鹿,V1.3.2
30044,告白,044,4,,,A,,S,,A,S,,,S,森女系列,,店·金币/浪·迷/浪·幻,,V1.3.2
30045,粉翼·珍稀,045,5,,S,,,A,,S,,S,S,,中式古典,舞者,设·进056,蝴蝶兰翩翩·粉,V1.3.2
30046,紫翼·珍稀,046,5,,S,,B,,,SS,,SS,S,,中式古典,舞者,设·定045,,V1.3.2
30047,荧珑,047,3,,A,,,S,,S,,S,A,,童话系,,浪·迷/浪·幻/4-1公,,V1.3.2
30048,荧珑·华丽,048,5,,S,,,S,,S,,SS,S,,童话系,,设·进047,水母公主,V1.3.2
30049,袄裙兰罩,049,4,,A,,S,,,A,,S,,S,中式古典,,浪·迷,岸芷汀兰,V1.3.2
30050,彼岸花,050,3,,S,,,A,,A,A,,S,,和风,,浪·迷/浪·幻/2-8公,,V1.3.2
30051,彼岸花·华丽,051,4,,S,,A,,,B,S,,,S,和风,,设·进050/浪·迷/浪·幻,,V1.3.2
30052,彼岸花·珍稀,052,5,,SS,,S,,,A,S,,,S,和风,,设·进051,鬼姬彼岸花,V1.3.2
30053,春姿俏,053,5,,S,,,SS,,S,,A,A,,,,赠·充值,罂粟千狐,V1.6.3
30054,冬影娇,054,5,,S,,,SS,,SS,,A,A,,,,赠·成就,,V1.6.3
30055,粉翼,055,3,,S,,S,,,A,,A,A,,中式古典,,浪·迷/浪·幻/浪·缥缈/3-4公,,V1.3.2
30056,粉翼·华丽,056,4,,SS,,A,,,S,,S,S,,中式古典,,设·进055,,V1.3.2
30057,蒙太古公子,057,4,,S,,SS,,A,,S,,B,,中性风,欧式古典,设·图,罗密欧,V1.3.2
30059,小家碧玉,059,3,,S,,S,,A,,,B,A,,中式现代,,店·金币/浪·迷/浪·幻,,V1.3.2
30060,铁色蔷薇,060,4,,,S,S,,S,,A,,,A,中性风,防晒,浪·迷/浪·幻,,V1.3.2
30061,樱色蔷薇,061,4,,S,,,S,,S,,B,,S,中性风,防晒,设·定060,,V1.3.2
30065,秋雁,065,3,,,A,,S,,S,,B,,A,冬装,,设·图,,V1.3.2
30068,奶奶的礼物,068,4,,,A,,S,,S,,S,,S,冬装,,店·金币/浪·迷/浪·幻,,V1.3.2
30069,深冬外套,069,3,,,A,,A,,S,,A,,A,冬装,,浪·迷/浪·幻,,V1.3.2
30070,美味糕点,070,4,,S,,,S,,S,S,,S,,女仆装,围裙,店·钻石,甜甜糕点师,V1.3.2
30071,温雅侍者·马甲,071,3,,,S,S,,S,,A,,,A,中性风,OL,设·图,,V1.3.2
