全衣柜编号,名称,分类编号,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径,套装,版本号
20001,白翩语,001,2,,,A,A,,A,,,A,A,,女神系,,店·金币/浪·迷,,V1.3.2
20002,夜阑珊,002,2,,A,,A,,A,,A,,A,,女神系,,设·定001,,V1.3.2
20003,香槟,003,3,,,A,B,,B,,,S,S,,女神系,,3-8少,,V1.3.2
20004,白莲,004,3,,,A,S,,C,,,A,A,,女神系,,设·定003,,V1.3.2
20006,白雪喵星人,006,4,,,S,,S,,S,,S,A,,,,浪·迷,,V1.3.2
20008,虎皮喵星人,008,4,,,A,,A,,S,,S,A,,,,设·定006,虎皮喵星人,V1.3.2
20009,童话星辰,009,5,,A,,,A,,S,,S,S,,洛丽塔,,浪·迷,,V1.3.2
20010,风谷星辰,010,5,,S,,,A,,SS,,S,S,,洛丽塔,,设·定009,,V1.3.2
20011,仲夏星辰,011,5,,A,,,S,,SS,,S,S,,洛丽塔,,设·定009,仲夏星辰,V1.3.2
20012,巧克力泰迪,012,5,,SS,,,A,,S,,S,S,,洛丽塔,小动物,浪·迷,,V1.3.2
20013,糖果泰迪,013,5,,S,,,S,,A,,S,S,,洛丽塔,小动物,设·定012,,V1.3.2
20014,棉花糖泰迪,014,5,,A,,,S,,S,,SS,S,,洛丽塔,小动物,设·定012,棉花糖泰迪,V1.3.2
20015,魔域筝灵,015,3,,S,,,C,,S,A,,S,,洛丽塔,哥特风,设·图,,V1.3.2
20016,神域筝灵,016,3,,A,,,C,,S,,S,S,,洛丽塔,,设·定015,神域筝灵,V1.3.2
20017,雪域筝灵,017,3,,A,,,A,,S,,A,A,,洛丽塔,,设·定015,,V1.3.2
20019,烈火女神,019,4,,S,,S,,A,,,S,,S,欧式古典,,店·金币/浪·迷/浪·幻,,V1.3.2
20020,月桂女神,020,4,,A,,S,,A,,,S,,A,欧式古典,,设·定019,,V1.3.2
20021,玫瑰长裙,021,4,,S,,S,,A,,B,,S,,欧式古典,女神系,店·钻石/浪·迷/浪·幻,,V1.3.2
