全衣柜编号,名称,分类编号,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取方式,套装,版本号
70001,简约凉鞋·黑,001,2,,,A,,A,A,,,A,A,,,,店·金币/浪·迷,,V1.3.2
70002,简约凉鞋·蓝,002,2,,,A,,A,,A,,A,A,,,,设·定001,,V1.3.2
70003,特级助手·中靴,003,4,,S,,,A,A,,,S,,S,英伦,,兑·仙履,,V1.3.2
70004,波点凉鞋·蓝,004,3,,,S,,A,,A,,A,S,,大小姐,,店·金币/浪·迷/浪·幻,,V1.3.2
70005,波点凉鞋·白,005,3,,,S,,A,,A,,A,S,,大小姐,,设·定004,,V1.3.2
70006,波点凉鞋·粉,006,3,,,S,,A,,A,,A,A,,大小姐,,设·定004,,V1.3.2
70007,流星,007,3,,,S,C,,,S,,S,S,,,,店·金币/浪·迷/浪·幻,,V1.3.2
70008,童趣·粉,008,4,,S,,,A,,S,,S,,A,,,设·图/赠·过关,,V1.3.2
70009,童趣·紫,009,4,,S,,,A,,S,,A,,S,,,设·定008,,V1.3.2
70010,童趣·蓝,010,4,,A,,,S,,S,,S,,A,,,设·定008,,V1.3.2
70011,童趣·米,011,4,,A,,,S,,S,,S,,A,,,设·定008,,V1.3.2
70012,海魂骑士,012,4,,S,,,S,,S,,A,,S,,,浪·迷/浪·幻,,V1.3.2
70013,紫布凉拖,013,2,,,B,,S,,A,,A,A,,,,店·金币/浪·迷,,V1.3.2
70014,珠泪·粉,014,2,,,A,A,,,B,,S,S,,,,店·金币/浪·迷,,V1.3.2
70015,珠泪·黑,015,2,,,S,B,,A,,,S,B,,,,设·定014,,V1.3.2
70016,珠泪·白,016,2,,,A,A,,A,,,A,A,,,,设·定014,,V1.3.2
70017,小绅士,017,3,,,B,S,,S,,,S,B,,中性风,英伦,店·金币/浪·迷/浪·幻,,V1.3.2
70018,妖魅爵士,018,3,,,B,S,,S,,,S,B,,中性风,英伦,设·定017,,V1.3.2
70019,彬彬有礼,019,3,,,B,S,,SS,,,S,B,,中性风,英伦,设·定017,,V1.3.2
70020,收脚靴·黑,020,3,,,S,,A,S,,,A,,A,中性风,,4-1少,,V1.3.2
70021,收脚靴·棕,021,3,,,A,,A,S,,,A,,A,中性风,,设·定020,,V1.3.2
70023,收脚靴·豹纹,023,3,,A,,,A,S,,,A,,S,中性风,,设·定020,,V1.3.2
70024,越野鞋,024,3,,,S,,S,S,,,A,,A,中性风,,浪·迷/浪·幻,,V1.3.2
70025,普通帆布鞋,025,2,,,A,,A,,B,,A,,A,中性风,,浪·迷/10-9少/3-7少,,V1.3.2
70026,热血梦,026,2,,,B,,A,,A,,A,,S,中性风,,设·定025,,V1.3.2
70027,闪电侠,027,2,,,A,,A,,B,,A,,B,中性风,,设·定025,,V1.3.2
70028,温柔的呼吸,028,2,,,A,,A,,A,,A,,A,中性风,,设·定025,,V1.3.2
70029,乖顺,029,3,,,S,,B,,A,,S,A,,,,浪·迷,,V1.3.2
70030,丹砂,030,3,,,S,,B,,S,,S,A,,,,设·定029,,V1.3.2
70031,沉玉,031,3,,,S,,B,,S,,A,S,,,,设·定029,虎皮喵星人,V1.3.2
70032,星辰·粉,032,5,,S,,B,,,S,,S,S,,,,浪·迷,,V1.3.2
70033,星辰·青,033,5,,S,,,A,,S,,S,S,,,,设·定032,,V1.3.2
70034,星辰·蓝,034,5,,S,,,S,,SS,,S,S,,,,设·定032,仲夏星辰,V1.3.2
70035,贴心泰迪·黑,035,5,,S,,,S,,S,,S,S,,小动物,,浪·迷,,V1.3.2
70036,贴心泰迪·花,036,5,,S,,,S,,A,,S,A,,小动物,,设·定035,,V1.3.2
70037,贴心泰迪·白,037,5,,SS,,,S,,S,,S,S,,小动物,,设·定035,棉花糖泰迪,V1.3.2
70038,筝迹·黑,038,3,,S,,C,,,A,S,,S,,,,设·图,,V1.3.2
70039,筝迹·蓝,039,3,,S,,B,,,B,S,,S,,,,设·定038,,V1.3.2
70040,筝迹·白,040,3,,S,,C,,S,,,S,S,,,,设·定038,神域筝灵,V1.3.2
70041,筝迹·粉,041,3,,S,,B,,,S,,S,S,,,,设·定038,,V1.3.2
70048,瑰丽·棕,048,4,,S,,S,,C,,,S,S,,欧式古典,,浪·幻,,V1.3.2
70049,瑰丽·粉,049,4,,SS,,,B,,A,,S,S,,欧式古典,,设·定048,,V1.3.2
70050,蔷薇心,050,4,,S,,,A,,S,,S,A,,洛丽塔,,赠·过关,蔷薇少女,V1.3.2
70051,魔法机械,051,4,,S,,,S,,A,,S,,S,欧式古典,,兑·仙履,蒸汽时代,V1.3.2
70052,千金小姐,052,4,,A,,S,,S,,,B,SS,,欧式古典,,浪·幻,公爵的千金,V1.3.2
70053,贵妇风情,053,4,,B,,S,,A,,S,,S,,欧式古典,,浪·幻,贵妇雍容,V1.3.2
70054,精灵语,054,4,,SS,,,A,,A,,B,S,,,,设·图,百合花精,V1.3.2
70055,鱼嘴凉鞋·白,055,3,,,A,S,,,C,,A,S,,,,店·金币/浪·迷/浪·幻,,V1.3.2
70056,鱼嘴凉鞋·黑,056,3,,,A,S,,S,,B,,A,,,,设·定055,,V1.3.2
70057,鱼嘴凉鞋·红,057,3,,,S,S,,,B,,A,S,,,,设·定055,,V1.3.2
70059,熟女风情,059,4,,,S,S,,A,,,S,A,,,,浪·迷/浪·幻,,V1.3.2
70060,乔娜,060,3,,,S,A,,S,,B,,A,,OL,,店·金币/浪·迷/浪·幻,,V1.3.2
70061,拂绿,061,4,,,S,S,,,S,,S,S,,中式古典,,浪·迷/浪·幻/浪·缥缈/6-5公,,V1.3.2
70062,拂绿·华丽,062,5,,,B,SS,,,S,,SS,S,,中式古典,,设·进061,绿烟拂柳,V1.3.2
70063,擦肩而过,063,3,,,SS,A,,B,,,B,B,,英伦,,店·金币/浪·迷/浪·幻,,V1.3.2
70064,护士鞋,064,2,,,S,,B,,A,,A,B,,医务使者,,赠·成就,白衣天使,V1.3.2
70065,心焰,065,2,,,A,A,,,A,,S,B,,和风,,店·金币/浪·迷,,V1.3.2
70066,醉梦,066,3,,A,,S,,A,,A,,S,,和风,,设·图,梨院琳琅,V1.3.2
70067,开拓,067,3,,S,,A,,A,,A,,A,,摇滚风,,店·金币/浪·迷/浪·幻/5-3公,,V1.3.2
70068,开拓·华丽,068,4,,A,,SS,,S,,S,,S,,摇滚风,,设·进067,牛仔风情,V1.3.2
70069,甜心巧克力,069,3,,,A,S,,A,,A,,S,,OL,,4-6公/5-7公,,V1.3.2
70070,甜心巧克力·华丽,070,4,,,S,S,,S,,S,,S,,,,设·进069/浪·迷/浪·幻,,V1.3.2
