全衣柜编号,名称,分类编号,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径,套装,版本号
40001,馨朵·白,001,2,,,A,,A,C,,S,,A,,,,店·金币/浪·迷,,V1.3.2
40002,馨朵·粉,002,2,,,S,,A,,C,A,,A,,,,设·定001,,V1.3.2
40003,馨朵·蓝,003,2,,,SS,C,,C,,A,,S,,,,设·定001,,V1.3.2
40004,熟韵女郎,004,3,,,S,S,,S,,A,,A,,防晒,,店·金币/浪·迷/浪·幻,,V1.3.2
40005,空翼·蓝,005,3,,,S,,A,,A,A,,S,,,,店·金币/浪·迷/浪·幻,,V1.3.2
40006,空翼·白,006,3,,,S,,C,,S,S,,S,,,,设·定005,,V1.3.2
40007,萝蔓·蓝,007,2,,,S,,B,,A,S,,A,,,,1-7少/8-7少,,V1.3.2
40008,萝蔓·粉,008,2,,,B,,A,,A,A,,A,,,,设·定007,,V1.3.2
40009,萝蔓·白,009,2,,,A,,A,,B,A,,A,,,,设·定007,,V1.3.2
40010,蓝贞·上衣,010,3,,A,,,A,,A,,A,S,,洛丽塔,,赠·V礼包,,V1.3.2
40011,樱宁·上衣,011,2,,A,,A,,,A,,A,A,,洛丽塔,,设·图,,V1.3.2
40012,小飞侠·背心,012,2,,A,,,A,,S,,A,A,,洛丽塔,,浪·迷,,V1.3.2
40013,夏蝉上衣·粉,013,3,,A,,,A,,S,,S,A,,洛丽塔,,设·图,,V1.3.2
40014,夏蝉上衣·黄,014,3,,A,,,A,,A,,S,A,,洛丽塔,,设·定013,,V1.3.2
40015,夏蝉上衣·蓝,015,3,,S,,,A,,S,,A,A,,洛丽塔,,设·定013,,V1.3.2
40016,甜心骑士·上衣,016,4,,S,,A,,,S,,A,S,,洛丽塔,,浪·迷/浪·幻,,V1.3.2
40017,水手服,017,4,,,A,,S,,S,A,,S,,学院系,,设·图,,V1.3.2
40018,兔子兜·粉,018,4,,S,,,S,,S,,A,,S,小动物,防晒,设·图/赠·过关,,V1.3.2
40019,兔子兜·白,019,4,,S,,,A,,S,,A,,A,小动物,防晒,设·定018,,V1.3.2
40020,兔子兜·紫,020,4,,S,,,A,,S,,S,,A,小动物,防晒,设·定018,,V1.3.2
40022,小樱桃·粉,022,3,,A,,,A,,S,S,,A,,,,设·图,,V1.3.2
40023,小樱桃·米,023,3,,S,,,S,,S,A,,A,,,,设·定022,,V1.3.2
40024,小樱桃·紫,024,3,,A,,,S,,S,B,,A,,,,设·定022,,V1.3.2
40025,魅影,025,3,,S,,,B,,B,S,,A,,防晒,,浪·迷/浪·幻,,V1.3.2
40029,风情·白,029,1,,,A,A,,,B,C,,,A,,,店·金币/浪·迷/1-6少,,V1.3.2
40030,风情·黑,030,1,,,A,B,,,C,A,,,B,,,设·定029,,V1.3.2
40031,记者的衣橱·蓝,031,2,,,S,,B,,B,,B,S,,中性风,牛仔布,店·金币/浪·迷/1-1少,,V1.3.2
40032,记者的衣橱·绿,032,2,,,SS,,B,,B,,C,S,,中性风,牛仔布,设·定031,,V1.3.2
40033,记者的衣橱·黑,033,2,,,A,B,,B,,A,,A,,中性风,牛仔布,设·定031,,V1.3.2
40034,记者的衣橱·白,034,2,,,A,A,,A,,,B,A,,中性风,牛仔布,设·定031,,V1.3.2
40035,OL的衬衫·白,035,2,,,A,A,,A,,A,,B,,中性风,OL,店·金币/浪·迷/2-4少,,V1.3.2
40036,OL的衬衫·蓝,036,2,,,A,S,,B,,B,,B,,中性风,OL,设·定035,,V1.3.2
40037,OL的衬衫·黑,037,2,,,A,A,,B,,B,,A,,中性风,OL,设·定035,,V1.3.2
